Test Year,NB Acc,LR Acc,XGB Acc,NB Ll,LR Ll,XGB Ll
2003.0,0.671875,0.703125,0.6875,0.76571686667596,0.5512870448612095,0.5601495653099846
2004.0,0.734375,0.75,0.734375,0.6230568306944343,0.5158582618389638,0.5392775675572921
2005.0,0.71875,0.71875,0.7109375,0.6355874230634211,0.5320848746768729,0.5428233041893691
2006.0,0.671875,0.65625,0.640625,0.8298215351919248,0.5796486078963241,0.621629834495252
2007.0,0.78125,0.78125,0.8046875,0.3714952471899314,0.4504530153392021,0.44659011453040875
2008.0,0.765625,0.796875,0.7265625,0.6733204848284999,0.49267435580611546,0.514061015099287
2009.0,0.71875,0.71875,0.71875,0.5212995741608549,0.5104300479871421,0.49953247539815493
2010.0,0.703125,0.65625,0.6640625,0.785658773089936,0.5725076294170874,0.5839841318229446
2011.0,0.5970149253731343,0.6417910447761194,0.5895522388059702,0.8469201446518387,0.6182721364605088,0.6554814133403907
2012.0,0.6865671641791045,0.6865671641791045,0.6865671641791045,0.7849674330241266,0.5659733310525262,0.5728208958379813
2013.0,0.6716417910447762,0.6716417910447762,0.6716417910447762,0.8871893887100845,0.5931153561176207,0.5998276716181591
2014.0,0.6716417910447762,0.6417910447761194,0.6567164179104478,0.8123299893095519,0.5775865677222345,0.5702354881022849
2015.0,0.7611940298507462,0.7761194029850746,0.7388059701492538,0.6015651896581863,0.5063272638494285,0.5355843700079331
2016.0,0.746268656716418,0.7164179104477612,0.6417910447761194,0.7228738607494177,0.5647527532209362,0.6152841352037529
2017.0,0.746268656716418,0.7164179104477612,0.7164179104477612,0.5951688480035197,0.5439911961417204,0.5126990446848656
2018.0,0.7014925373134329,0.7014925373134329,0.7388059701492538,0.7835091680475297,0.589110390936209,0.5571812246439617
Avg,0.7092321595149254,0.7083430503731343,0.6954874067164178,0.7025300473155761,0.5477545520827564,0.5579476407401265
STD,0.045719455764295217,0.04744096376864739,0.04980690343058833,0.13315321338326258,0.04241292886738816,0.0503295039175348
